city,category,total_reviews,lowest_rating,highest_rating,average_rating
Friendswood,"Food and beverages",5,8.5,9.5,9.1
Weslaco,"Food and beverages",6,7.1,9.8,8.7
Rockwall,"Sports and travel",5,6.3,9.7,7.8
Brownwood,"Food and beverages",5,6.4,9.2,7.8
"Big Spring","Sports and travel",5,6.8,8,7.3
Austin,"Fashion accessories",31,4,9,7.2
Waxahachie,"Health and beauty",6,4.8,9.5,7.2
Pasadena,"Home and lifestyle",33,4,9,7
Cleburne,"Home and lifestyle",32,3,9,7
Laredo,"Fashion accessories",32,3,9.6,6.9
Killeen,"Home and lifestyle",30,4,9.1,6.9
Alamo,"Fashion accessories",26,3,9,6.9
"Lake Jackson","Fashion accessories",24,4,9,6.9
Garland,"Food and beverages",7,4.2,9.9,6.9
Huntsville,"Fashion accessories",37,4,9.7,6.8
Kerrville,"Fashion accessories",36,3,9,6.8
"El Paso","Fashion accessories",34,3,9.1,6.8
Pflugerville,"Home and lifestyle",28,4,9,6.8
Austin,"Home and lifestyle",26,4,9,6.8
Lewisville,"Fashion accessories",26,4,9,6.8
